ff,city,state,pop,obese
5,King City,CA,426762,23.100000
1,Kings Beach,CA,361682,22.433333
11,Kingsburg,CA,1551236,28.266666
5,La Canada Flintridge,CA,9962789,22.300000
2,La Crescenta,CA,9962789,22.300000
29,La Habra,CA,13052921,22.300000
3,La Jolla,CA,3177063,23.400000
10,La Mesa,CA,3177063,23.400000
17,La Mirada,CA,13052921,22.300000
5,La Palma,CA,13052921,22.300000
11,La Puente,CA,9962789,22.300000
7,La Quinta,CA,2268783,26.233333
5,La Verne,CA,9962789,22.300000
4,Ladera Ranch,CA,3090132,21.700000
4,Lafayette,CA,1079597,24.066666
3,Laguna Beach,CA,3090132,21.700000
9,Laguna Hills,CA,3090132,21.700000
13,Laguna Niguel,CA,3090132,21.700000
2,Lake Arrowhead,CA,2081313,26.800000
14,Lake Elsinore,CA,2268783,26.233333
7,Lake Forest,CA,3090132,21.700000
2,Lake Isabella,CA,856158,26.900000
5,Lakeport,CA,63983,25.866666
6,Lakeside,CA,3177063,23.400000
21,Lakewood,CA,9962789,22.300000
3,Lamont,CA,856158,26.900000
38,Lancaster,CA,10818947,26.900000
5,Lathrop,CA,702612,28.366666
7,Lawndale,CA,9962789,22.300000
6,Lebec,CA,10818947,26.900000
9,Lemon Grove,CA,3177063,23.400000
8,Lemoore,CA,151364,25.300000
12,Lincoln,CA,456704,25.500000
3,Lindsay,CA,451977,28.266666
2,Littlerock,CA,9962789,22.300000
34,Livermore,CA,4471821,24.066666
3,Livingston,CA,262305,29.100000
3,Lockeford,CA,702612,28.366666
22,Lodi,CA,702612,28.366666
3,Loma Linda,CA,2081313,26.800000
7,Lomita,CA,9962789,22.300000
10,Lompoc,CA,431249,21.066666
2,Lone Pine,CA,18495,23.766666
75,Long Beach,CA,9962789,22.300000
2,Loomis,CA,361682,22.433333
4,Los Alamitos,CA,3090132,21.700000
2,Los Altos,CA,1837504,22.133333
311,Los Angeles,CA,10798770,23.100000
9,Los Banos,CA,262305,29.100000
5,Los Gatos,CA,1837504,22.133333
4,Lost Hills,CA,856158,26.900000
1,Lower Lake,CA,63983,25.866666
9,Lynwood,CA,9962789,22.300000
13,Madera,CA,152218,28.000000
